annee_installation,site,adresse,arrond,adresse_complete,acces,horaires_normal,horaires_vacances_ete,horaires_vacances_hiver,geo_coordinates
2008/2009,Stade Jean Pierre Wimille,56 Bd de l'Amiral Bruix,75016,56 Bd de l'Amiral Bruix 75016 Paris  France,Intérieur,7h à 22h30,8h à 18h,fermé,"48.872568, 2.275998"
2008/2009,Centre sportif Poissonniers,2 rue Jean Cocteau,75018,2 rue Jean Cocteau 75018 Paris  France,Extérieur,,,,"48.899628, 2.351833"
2008/2009,Centre sportif Déjérine,34 rue des docteurs Déjérine,75020,34 rue des docteurs Déjérine 75020 Paris  France,Intérieur,,,fermé,"48.856795, 2.411563"
2010,Kiosque jeunes Goutte D'Or,1 rue Fleury Centre Musical,75018,1 rue Fleury Centre Musical 75018 Paris  France,Intérieur,,,fermé,"48.89247, 2.34463"
2010,Antenne jeunes Olympiades,32 rue du Javelot Tour Anvers,75013,32 rue du Javelot Tour Anvers 75013 Paris  France,Extérieur,,,,"48.824405, 2.365686"
2010,Espace jeunes Charles Hermitte,54 Bd Ney,75018,54 Bd Ney 75018 Paris  France,Intérieur,10h à 20h,,10h à 20h,"48.898551, 2.363065"
2008/2009,Centre sportif Léo Lagrange,68 Bd Poniatowsky,75012,68 Bd Poniatowsky 75012 Paris  France,Intérieur,8h à 22h,8h à 21h,8h à 17h,"48.832304, 2.399533"
2008/2009,Centre sportif Jules Noël,3 Av Maurice D'Ocagne,75014,3 Av Maurice D'Ocagne 75014 Paris  France,Intérieur,8h à 22h30,8h à 22h,9h à 22h30,"48.824199, 2.315428"
2008/2009,Gymnase Cévennes,11 rue de la Montagne d'Aulas,75015,11 rue de la Montagne d'Aulas 75015 Paris  France,Intérieur,7h à 22h30,8h à 16h,7h à 19h,"48.840328, 2.279085"
2008/2009,Centre sportif Max Rousié,28 rue André Bréchet,75017,28 rue André Bréchet 75017 Paris  France,Intérieur,8h à 21h30,8h à 21h,8h à 21h30,"48.88387, 2.31863"
2008/2009,Gymnase Jean Jaurès,87 Av J.Jaurès,75019,87 Av J.Jaurès 75019 Paris  France,Intérieur,7h à 22h30,8h à 17h,fermé,"48.88237, 2.38225"
2010,Kiosque jeunes Champ de Mars,101 Quai Branly,75015,101 Quai Branly 75015 Paris  France,Intérieur,10h à 18h,10h à 18h,10h à 18h,"48.85494, 2.289272"
2010,Antenne jeunes Flandre,49 ter Av de Flandre,75019,49 ter Av de Flandre 75019 Paris  France,Intérieur,,14h à 19h,14h à 19h,"48.887047, 2.372123"
2010,Centre d'animation Vercingétorix,181/183 rue de Vercingétorix,75014,181/183 rue de Vercingétorix 75014 Paris  France,Intérieur,10h à 18h,10h à 18h,10h à 17h,"48.831535, 2.309606"
2010,Espace jeunes Goutte D'Or,6 rue de la Goutte d'Or,75018,6 rue de la Goutte d'Or 75018 Paris  France,Intérieur,14h à 21h,,14h à 21h,"48.884987, 2.354645"
2010,Espace jeunes St Blaise,1 rue Pauline Kergomard,75020,1 rue Pauline Kergomard 75020 Paris  France,Intérieur,10h30 à 19h,14h à 19h,14h à 19h,"48.854988, 2.407303"
2008/2009,Centre sportif Grange aux belles,17 rue Boy-Zelenski,75010,17 rue Boy-Zelenski 75010 Paris  France,Intérieur,8h à 22h30,9h à 21h,9h à 22h30,"48.877355, 2.368197"
2008/2009,Centre sportif Bourneville,5 rue du docteur Bourneville,75013,5 rue du docteur Bourneville 75013 Paris  France,Intérieur,7h à 22h30,,13h à 22h30,"48.817942, 2.359162"
2008/2009,Centre sportif Georges Carpentier,81 Bd Masséna,75013,81 Bd Masséna 75013 Paris  France,Intérieur,8h à 22h,8h à 22h,8h à 22h,"48.82046, 2.366898"
2008/2009,Centre sportif Goutte d'Or,10-12 passage de la Goutte d'Or,75018,10-12 passage de la Goutte d'Or 75018 Paris  France,Intérieur,7h à 22h30,9h à 17h30,8h à 18h,"48.884988, 2.354328"
2010,Antenne jeunes Orillon,43 rue de l'Orillon,75011,43 rue de l'Orillon 75011 Paris  France,Extérieur,,,,"48.870536, 2.377394"
2008/2009,Gymnase Patriarches,6 Place Bernard Halphen,75005,6 Place Bernard Halphen 75005 Paris  France,Intérieur,7h à 22h30,7h à 14h,7h à 22h30,"48.840253, 2.350677"
2008/2009,Gymnase Buffault,26 rue Buffault,75009,26 rue Buffault 75009 Paris  France,Intérieur,9h à 22h30,7h à 15h,9h à 22h30,"48.875976, 2.342156"
2008/2009,Centre spotif Paul Valéry,15 rue de la Nouvelle Calédonie,75012,15 rue de la Nouvelle Calédonie 75012 Paris  France,Intérieur,8h à 22h,8h à 22h,8h à 22h,"48.837933, 2.410282"
2008/2009,Centre sportif Elisabeth,7-15 Av Paul Appell,75014,7-15 Av Paul Appell 75014 Paris  France,Intérieur,8h à 22h30,8h à 22h,8h à 22h30,"48.821232, 2.328912"
2010,Centre d'animation Jemmapes,116 Quai de Jemmapes,75010,116 Quai de Jemmapes 75010 Paris  France,Intérieur,9h à 22h,10h à 19h,9h à 22h,"48.874772, 2.363661"
2010,Centre d'animation Place des Fêtes,2/4 rue des Lilas,75019,2/4 rue des Lilas 75019 Paris  France,Intérieur,11h à 22h,,fermé,"48.877801, 2.395497"
2008/2009,TEP Neuve St Pierre,5-7 rue Neuve St Pierre,75004,5-7 rue Neuve St Pierre 75004 Paris  France,Intérieur,8h à 22h,8h à 22h,8h à 22h,"48.853622, 2.36381"
2008/2009,Gymnase Japy,2 rue Jappy,75011,2 rue Jappy 75011 Paris  France,Intérieur,,7h à 16h,fermé,"48.855888, 2.382548"
2008/2009,Centre sportif Rigoulot,18 Av de la Porte de Brancion,75015,18 Av de la Porte de Brancion 75015 Paris  France,Intérieur,7h à 22h30,7h à 22h,7h à 22h30,"48.826643, 2.300662"
2008/2009,Centre sportif Jules Ladoumègue,Place de la Porte de Pantin,75019,Place de la Porte de Pantin 75019 Paris  France,Intérieur,8h à 22h,7h à 20h,8h à 22h,"48.889565, 2.395229"
